,BUILT_FORM,TOTAL_FLOOR_AREA,FLOOR_HEIGHT,GLAZED_AREA,NUMBER_HABITABLE_ROOMS,WINDOWS_DESCRIPTION,WALLS_DESCRIPTION,ROOF_DESCRIPTION,NUMBER_HEATED_ROOMS,NUMBER_OPEN_FIREPLACES,MULTI_GLAZE_PROPORTION,MAINHEAT_DESCRIPTION
0,5,133.6,2.44,3,6.0,3,3,4,6.0,0.0,98.0,7
1,0,92.2,2.4,3,6.0,0,25,6,6.0,0.0,100.0,7
2,0,145.8,2.4,3,7.0,0,0,14,7.0,0.0,100.0,7
3,5,79.4,2.51,3,4.0,0,3,8,4.0,0.0,100.0,7
4,4,67.3,2.4,3,4.0,3,3,8,4.0,0.0,33.0,7
5,4,79.75,2.494,3,5.0,0,16,4,5.0,4.0,100.0,7
6,5,82.25,2.4,3,5.0,0,16,5,5.0,0.0,100.0,7
7,5,60.3,2.42,3,3.0,0,3,8,3.0,0.0,100.0,7
8,5,89.0,2.34,3,4.0,0,0,6,4.0,0.0,100.0,7
9,5,76.25,2.36,3,4.0,0,1,17,4.0,0.0,100.0,7
10,3,67.25,2.3,3,3.0,3,25,4,3.0,0.0,78.0,7
11,5,191.8,2.4,3,7.0,0,0,8,7.0,0.0,100.0,7
12,5,183.2,2.53,3,10.0,0,16,4,10.0,0.0,100.0,7
13,4,62.4,2.41,3,3.0,3,16,4,3.0,0.0,55.0,7
14,5,84.6,2.42,3,4.0,0,21,7,4.0,0.0,100.0,7
15,4,55.3,2.4,3,3.0,0,2,17,3.0,0.0,100.0,7
16,4,66.25,2.5,3,5.0,3,1,7,4.0,0.0,90.0,21
17,5,69.5,2.34,3,4.0,0,0,14,4.0,0.0,100.0,7
18,4,83.5,2.8,3,5.0,3,16,3,5.0,0.0,40.0,7
19,3,89.75,2.35,3,5.0,0,21,17,2.0,0.0,100.0,35
20,0,82.0,2.3,3,6.0,0,0,7,6.0,0.0,100.0,7
21,5,96.25,2.42,3,5.0,0,1,3,5.0,0.0,100.0,7
22,3,127.25,2.53,3,8.0,0,8,3,8.0,0.0,100.0,7
23,5,175.1,2.4,3,9.0,0,1,6,9.0,0.0,100.0,7
24,0,86.2,2.6,3,4.0,0,0,9,4.0,0.0,100.0,7
25,3,82.0,2.3,3,6.0,0,0,15,6.0,0.0,100.0,7
26,0,113.4,2.4,3,6.0,0,0,6,6.0,0.0,100.0,7
27,3,84.7,2.32,3,5.0,0,2,6,5.0,0.0,100.0,7
28,5,85.0,2.5,3,5.0,0,23,8,4.0,0.0,100.0,7
29,3,74.1,2.3,3,5.0,0,0,11,5.0,0.0,100.0,7
30,5,72.3,2.66,3,6.0,3,1,6,6.0,0.0,66.0,7
31,4,52.0,2.7,3,3.0,0,16,7,3.0,0.0,100.0,7
32,5,76.94,2.25,3,4.0,0,0,8,4.0,0.0,100.0,7
33,3,116.9,2.64,3,5.0,3,2,7,5.0,0.0,50.0,7
34,3,105.0,2.4,3,5.0,0,0,7,5.0,0.0,100.0,7
35,0,103.5,2.42,3,7.0,0,0,12,7.0,0.0,100.0,7
36,0,150.8,2.34,3,5.0,0,3,11,5.0,0.0,100.0,7
37,5,149.8,2.82,3,4.0,0,16,14,4.0,0.0,100.0,7
38,5,46.2,2.37,3,2.0,0,3,6,2.0,0.0,100.0,7
39,4,114.5,2.3,3,7.0,0,3,7,7.0,0.0,100.0,7
40,4,56.75,2.74,3,4.0,0,1,19,4.0,0.0,100.0,7
41,0,45.5,2.3,3,2.0,0,3,4,2.0,0.0,100.0,7
42,0,78.1,3.14,3,4.0,0,1,3,4.0,0.0,100.0,7
43,3,80.0,2.4,3,4.0,0,1,4,4.0,0.0,100.0,21
44,5,78.44,2.65,3,4.0,0,3,3,4.0,0.0,100.0,7
45,0,92.44,2.37,3,5.0,0,1,4,5.0,0.0,100.0,7
46,0,117.8,2.23,3,7.0,0,0,7,7.0,0.0,100.0,7
47,0,176.5,2.48,3,7.0,0,3,14,7.0,1.0,100.0,7
48,4,90.2,2.35,3,5.0,0,12,7,5.0,0.0,100.0,7
49,5,94.7,2.35,3,4.0,2,16,4,4.0,0.0,88.0,8
50,3,152.1,2.98,3,7.0,0,16,3,7.0,2.0,100.0,7
51,5,86.94,2.49,3,5.0,0,3,11,5.0,0.0,100.0,21
52,5,94.44,2.52,3,5.0,0,1,4,4.0,0.0,100.0,7
53,4,64.94,2.64,3,4.0,0,12,6,4.0,0.0,100.0,7
54,4,95.1,2.4,3,4.0,3,2,2,4.0,0.0,80.0,7
55,4,82.4,2.6,3,5.0,4,3,6,5.0,0.0,0.0,7
56,5,121.2,2.3,3,5.0,0,0,6,5.0,0.0,100.0,7
57,4,93.94,2.3,3,4.0,0,0,6,4.0,0.0,100.0,7
58,4,47.34,2.3,3,2.0,0,0,8,2.0,0.0,100.0,7
59,5,81.5,2.5,3,6.0,0,1,6,6.0,0.0,100.0,7
60,0,93.4,2.27,3,4.0,0,2,4,4.0,0.0,100.0,7
61,5,105.06,2.45,3,5.0,3,3,14,5.0,0.0,60.0,7
62,0,156.6,2.4,3,7.0,3,0,13,7.0,0.0,85.0,7
63,4,58.5,2.39,3,3.0,0,0,6,3.0,0.0,100.0,7
64,2,98.5,3.53,3,3.0,4,19,15,3.0,0.0,0.0,7
65,5,60.66,2.303,1,5.0,0,2,14,5.0,0.0,100.0,7
66,5,89.1,2.4,3,5.0,0,1,14,5.0,0.0,100.0,7
67,0,154.4,2.2,3,11.0,3,25,19,11.0,1.0,30.0,7
68,3,66.9,2.41,3,4.0,0,15,15,4.0,0.0,100.0,7
69,4,68.6,2.8,3,3.0,0,3,12,3.0,0.0,100.0,7
70,5,66.0,2.34,3,4.0,0,1,7,4.0,0.0,100.0,7
71,4,72.06,2.35,3,6.0,3,1,11,3.0,0.0,50.0,21
72,0,121.3,2.45,3,7.0,0,3,13,7.0,0.0,100.0,7
73,5,80.8,2.45,3,5.0,0,1,17,5.0,0.0,100.0,7
74,4,89.3,2.48,3,4.0,0,16,13,4.0,1.0,100.0,7
75,5,83.06,2.45,3,5.0,0,21,14,5.0,0.0,100.0,7
76,5,84.8,2.56,3,4.0,0,16,4,4.0,0.0,100.0,7
77,4,85.44,2.58,3,4.0,0,1,4,4.0,0.0,100.0,7
78,0,191.2,2.69,3,8.0,0,0,6,8.0,0.0,100.0,7
79,3,79.1,2.45,3,5.0,0,16,9,5.0,1.0,100.0,7
80,4,81.8,2.3,3,5.0,0,0,16,5.0,0.0,100.0,7
81,4,68.2,2.33,3,4.0,0,1,14,4.0,0.0,100.0,21
82,3,72.75,2.37,3,4.0,0,0,4,4.0,0.0,100.0,7
83,0,191.8,2.43,3,8.0,3,2,12,8.0,0.0,95.0,7
84,5,79.4,2.5,3,5.0,2,1,3,3.0,0.0,80.0,7
85,1,40.3,2.3,3,2.0,0,25,4,1.0,0.0,100.0,30
86,5,72.44,2.5,3,3.0,0,3,8,3.0,0.0,100.0,7
87,0,89.1,2.38,3,6.0,0,0,15,6.0,0.0,100.0,7
88,3,66.6,2.4,3,4.0,0,16,14,4.0,0.0,100.0,7
