,BUILT_FORM,TOTAL_FLOOR_AREA,FLOOR_HEIGHT,GLAZED_AREA,NUMBER_HABITABLE_ROOMS,WINDOWS_ENERGY_EFF,WALLS_ENERGY_EFF,ROOF_ENERGY_EFF,NUMBER_HEATED_ROOMS,NUMBER_OPEN_FIREPLACES,MULTI_GLAZE_PROPORTION,MAINHEAT_DESCRIPTION,MAINHEAT_ENERGY_EFF,SECONDHEAT_DESCRIPTION,MECHANICAL_VENTILATION,MAINS_GAS_FLAG,SOLAR_WATER_HEATING_FLAG,HOT_WATER_ENERGY_EFF,PHOTO_SUPPLY
0,5,107.3,2.49,3,4.0,3,1,3,4.0,0.0,100.0,7,4,9,2,1,0,4,0.0
1,4,94.9,3.0,3,5.0,4,4,3,4.0,0.0,100.0,7,3,10,2,1,0,2,0.0
2,3,76.1,2.4,3,3.0,1,2,4,2.0,0.0,0.0,7,4,1,2,1,0,4,0.0
3,5,80.0,2.5,3,5.0,3,4,4,5.0,0.0,100.0,7,3,10,2,1,0,3,0.0
4,0,118.5,2.61,3,7.0,4,2,2,7.0,1.0,100.0,7,4,0,2,1,0,4,0.0
5,4,80.6,2.3,3,5.0,3,3,2,5.0,0.0,100.0,7,4,0,2,1,0,4,0.0
6,3,98.8,2.45,3,5.0,3,1,2,5.0,0.0,100.0,7,4,0,2,1,0,4,0.0
7,4,79.2,2.4,3,4.0,4,4,4,4.0,0.0,100.0,7,5,9,2,1,0,5,0.0
8,4,101.0,2.6,3,4.0,1,1,2,4.0,0.0,0.0,7,4,0,2,1,0,3,0.0
9,4,63.6,2.7,3,4.0,4,1,5,4.0,0.0,100.0,7,3,10,2,1,0,3,0.0
10,4,99.94,2.445,3,6.0,3,4,4,6.0,0.0,100.0,7,3,0,2,1,0,3,0.0
11,5,114.75,2.6,3,4.0,4,3,4,4.0,2.0,100.0,7,5,0,2,1,0,4,0.0
12,4,72.0,2.6,3,4.0,4,4,4,4.0,0.0,100.0,7,4,10,2,1,0,3,0.0
13,5,160.2,2.4,3,7.0,3,1,3,7.0,1.0,100.0,7,4,0,2,1,0,5,0.0
14,3,83.5,2.27,3,4.0,4,4,3,4.0,0.0,100.0,4,3,7,2,0,0,2,0.0
15,0,90.94,2.43,3,5.0,4,4,4,5.0,0.0,100.0,7,4,10,2,1,0,4,0.0
16,4,78.0,2.42,3,4.0,3,4,5,4.0,0.0,100.0,7,5,10,2,1,0,5,0.0
17,4,106.8,2.4,3,4.0,3,3,4,4.0,0.0,100.0,7,4,0,2,1,0,4,0.0
18,3,84.0,2.49,3,3.0,3,2,4,3.0,0.0,100.0,7,4,0,2,1,1,4,0.0
19,5,145.8,2.3,3,6.0,4,4,4,6.0,0.0,100.0,7,5,0,2,1,0,5,0.0
20,5,129.0,2.5,3,7.0,2,1,4,7.0,1.0,80.0,7,3,10,2,1,0,3,0.0
21,5,85.3,2.45,3,4.0,4,4,4,4.0,0.0,100.0,7,3,10,2,1,0,3,0.0
22,5,81.3,2.43,3,5.0,3,1,3,5.0,0.0,100.0,7,4,9,2,1,0,4,0.0
23,4,59.4,2.4,3,3.0,4,4,4,3.0,0.0,100.0,7,5,9,2,1,0,5,0.0
24,5,95.1,2.45,3,4.0,2,2,2,4.0,0.0,60.0,7,4,0,2,1,0,4,0.0
25,4,82.4,2.39,3,5.0,4,4,3,5.0,0.0,100.0,7,4,0,2,1,0,4,0.0
26,4,82.44,2.3,3,5.0,3,3,4,5.0,0.0,100.0,7,5,0,2,1,0,5,0.0
27,3,146.2,2.375,3,6.0,4,4,4,6.0,0.0,100.0,7,5,10,2,1,0,5,0.0
28,4,73.5,2.75,3,4.0,3,1,4,4.0,0.0,100.0,7,4,9,2,1,0,4,0.0
29,1,53.72,2.732,3,3.0,4,1,1,3.0,0.0,100.0,7,4,10,2,1,0,4,0.0
30,3,79.94,2.3,3,4.0,3,1,3,4.0,0.0,100.0,7,3,10,2,1,0,3,0.0
31,3,87.4,2.3,3,5.0,3,4,4,5.0,0.0,100.0,7,4,0,2,1,0,4,0.0
32,5,74.8,2.47,3,5.0,3,4,4,5.0,0.0,100.0,7,4,0,2,1,0,4,0.0
33,0,166.8,2.34,1,8.0,4,1,4,8.0,0.0,100.0,7,4,10,2,1,0,4,0.0
34,4,112.25,2.35,3,6.0,4,4,4,6.0,0.0,100.0,7,5,0,2,1,0,5,0.0
35,0,113.94,2.3,3,5.0,4,4,3,5.0,0.0,100.0,7,3,10,2,1,0,3,0.0
36,0,99.8,2.3,3,4.0,4,4,4,4.0,0.0,100.0,7,4,9,2,1,0,4,0.0
37,5,84.06,2.465,3,6.0,3,2,3,6.0,0.0,100.0,7,4,10,2,1,0,4,0.0
38,4,72.8,2.6,3,5.0,3,4,4,5.0,0.0,100.0,7,4,10,2,1,0,4,0.0
39,4,107.8,2.57,3,6.0,4,1,4,6.0,0.0,100.0,7,5,0,2,1,0,5,0.0
40,3,92.75,2.54,3,5.0,3,1,4,4.0,0.0,100.0,7,4,10,2,1,0,4,0.0
41,0,159.4,2.71,3,7.0,3,4,3,7.0,0.0,100.0,7,5,9,2,1,0,5,0.0
42,5,78.8,2.3,3,5.0,3,4,3,5.0,0.0,100.0,7,4,0,2,1,0,4,0.0
43,5,62.22,2.3,3,3.0,3,4,4,3.0,0.0,100.0,7,5,10,2,1,0,5,0.0
44,4,102.94,2.8,3,5.0,3,4,3,5.0,0.0,100.0,7,4,10,2,1,0,4,0.0
45,5,77.5,2.35,3,5.0,3,2,3,5.0,0.0,100.0,8,3,9,2,0,0,3,0.0
46,3,50.44,2.2,3,3.0,3,1,1,3.0,0.0,100.0,7,5,0,2,1,0,5,0.0
47,4,61.2,2.55,3,3.0,3,1,4,3.0,0.0,100.0,7,4,10,2,1,0,4,0.0
48,5,136.4,2.72,3,6.0,3,2,4,6.0,1.0,100.0,7,3,10,2,1,1,4,0.0
49,0,124.7,2.4,3,7.0,1,4,4,7.0,1.0,0.0,7,5,7,2,1,0,5,0.0
50,0,184.6,2.32,3,7.0,3,4,4,7.0,0.0,100.0,7,4,10,2,1,0,4,0.0
51,3,75.75,2.44,3,4.0,4,4,4,4.0,0.0,100.0,7,4,0,2,1,0,4,0.0
52,4,74.9,2.63,3,5.0,3,4,1,5.0,0.0,100.0,7,4,10,2,1,0,4,0.0
53,3,74.44,2.19,3,5.0,4,4,4,5.0,0.0,100.0,8,3,0,2,0,0,3,0.0
54,3,87.25,2.6,3,5.0,3,1,4,5.0,3.0,100.0,7,4,0,2,1,0,4,0.0
55,4,58.8,2.44,3,3.0,4,4,3,3.0,1.0,100.0,7,4,10,2,1,0,4,0.0
56,3,81.25,2.37,3,5.0,4,4,4,5.0,0.0,100.0,7,4,0,2,1,0,4,0.0
57,3,36.72,2.29,3,3.0,3,4,5,3.0,0.0,100.0,7,4,0,2,1,0,4,0.0
58,4,88.56,2.44,3,5.0,3,4,4,5.0,0.0,100.0,7,5,0,2,1,0,5,0.0
59,4,80.4,2.4,3,4.0,3,1,3,4.0,0.0,77.0,7,4,10,2,1,0,4,0.0
60,0,100.2,2.5,3,6.0,4,4,4,6.0,0.0,100.0,7,4,10,2,1,0,4,0.0
61,0,145.6,2.52,3,7.0,3,4,5,7.0,0.0,95.0,7,3,10,2,1,0,2,0.0
62,3,89.25,2.8,3,5.0,4,1,4,5.0,0.0,100.0,7,4,9,2,1,0,4,0.0
63,4,79.94,2.7,3,4.0,3,1,4,2.0,0.0,90.0,31,3,1,2,1,0,1,75.0
64,5,75.6,2.4,3,5.0,3,2,4,5.0,0.0,100.0,7,4,14,2,1,0,4,0.0
65,4,64.8,2.43,3,4.0,3,2,4,4.0,0.0,100.0,7,4,0,2,1,0,4,0.0
66,0,118.25,2.5,3,4.0,3,1,4,4.0,1.0,100.0,7,4,7,2,1,0,4,0.0
67,3,197.6,2.78,3,7.0,3,2,3,5.0,1.0,100.0,7,4,8,2,1,0,4,0.0
68,3,47.94,2.38,3,4.0,3,4,3,4.0,0.0,100.0,21,2,9,2,0,0,2,0.0
69,0,95.9,2.36,3,4.0,4,4,3,4.0,0.0,100.0,7,4,10,2,1,0,4,0.0
70,5,72.1,2.29,3,5.0,4,4,4,5.0,0.0,100.0,7,5,0,2,1,0,5,0.0
71,4,86.6,2.31,3,4.0,4,4,1,4.0,0.0,100.0,7,4,0,2,1,0,4,0.0
72,4,83.94,2.29,3,5.0,3,4,4,5.0,0.0,100.0,7,3,10,2,1,0,3,0.0
73,4,59.3,2.3,3,3.0,3,4,4,3.0,0.0,100.0,7,4,0,2,1,0,4,0.0
74,0,136.8,2.52,1,5.0,4,1,4,5.0,1.0,100.0,7,4,7,2,1,0,4,0.0
75,4,51.4,2.38,3,4.0,4,4,3,4.0,0.0,100.0,30,1,10,2,1,0,3,0.0
76,5,91.5,2.4,3,4.0,3,4,4,4.0,0.0,100.0,4,3,0,2,0,0,2,0.0
77,3,76.44,2.45,3,3.0,4,4,4,3.0,0.0,100.0,7,4,0,2,1,0,4,0.0
78,0,115.8,2.3,3,4.0,4,4,4,4.0,0.0,100.0,8,3,0,2,0,0,3,0.0
